x,y_noise,y_true
-10.0,-7.147756224414166,-7.123227176010585
-9.97997997997998,-5.860183967911834,-7.094833039846561
-9.95995995995996,-5.5728074693142995,-7.066727993858717
-9.93993993993994,-6.611436258648377,-7.038912848162318
-9.91991991991992,-5.891919268334657,-7.011388383824776
-9.8998998998999,-5.798182917505517,-6.984155352787386
-9.87987987987988,-6.626892705327604,-6.957214477789988
-9.85985985985986,-6.297147774576907,-6.930566452298535
-9.83983983983984,-6.303347725628816,-6.904211940435623
-9.81981981981982,-5.455513224732366,-6.878151576913936
-9.7997997997998,-5.575554955417881,-6.852385966972656
-9.77977977977978,-5.2108085063221665,-6.826915686316809
-9.75975975975976,-6.313710303828763,-6.801741281059591
-9.73973973973974,-6.221429763758894,-6.776863267667636
-9.71971971971972,-5.3160791237782155,-6.7522821329092775
-9.6996996996997,-3.9476560756028647,-6.727998333805763
-9.67967967967968,-4.264263098545677,-6.704012297585472
-9.65965965965966,-4.770164177812059,-6.680324421641101
-9.63963963963964,-6.762306775915977,-6.656935073489846
-9.61961961961962,-6.7289984049567355,-6.633844590736579
-9.5995995995996,-6.777597470111406,-6.611053281040019
-9.57957957957958,-6.71225414639863,-6.588561422081906
-9.55955955955956,-6.261621229590681,-6.566369261539176
-9.53953953953954,-6.471915518201933,-6.544477017059144
-9.51951951951952,-5.8119870186561355,-6.522884876237697
-9.4994994994995,-5.385110888412169,-6.501592996600497
-9.47947947947948,-6.057079788506951,-6.480601505587195
-9.45945945945946,-6.075470372690881,-6.459910500538664
-9.43943943943944,-5.790253219916599,-6.439520048687243
-9.41941941941942,-5.9821399873617676,-6.419430187150003
-9.3993993993994,-6.048516889822256,-6.399640922925028
-9.37937937937938,-7.082848035317688,-6.380152232890708
-9.35935935935936,-6.434808986422565,-6.360964063808068
-9.33933933933934,-6.0940216150878275,-6.342076332326086
-9.31931931931932,-6.598386066304152,-6.323488924990061
-9.2992992992993,-7.166673209399533,-6.305201698252967
-9.27927927927928,-6.759387289755985,-6.287214478489849
-9.25925925925926,-5.940912015123674,-6.269527062015209
-9.23923923923924,-5.948846722708951,-6.252139215103425
-9.21921921921922,-6.165893223528692,-6.235050674012163
-9.1991991991992,-7.448128347152812,-6.218261145008804
-9.17917917917918,-6.859515738633473,-6.201770304399883
-9.15915915915916,-6.238114972075905,-6.185577798563514
-9.13913913913914,-6.570228937768084,-6.16968324398483
-9.11911911911912,-6.741314056105727,-6.154086227294405
-9.0990990990991,-7.270272829265219,-6.138786305309678
-9.07907907907908,-6.6286537645191315,-6.123783005079355
-9.05905905905906,-6.029121559334369,-6.109075823930806
-9.03903903903904,-5.424133305031576,-6.094664229520424
-9.01901901901902,-5.733701594194052,-6.080547659886971
-8.998998998999,-4.929701161386145,-6.066725523507884
-8.97897897897898,-6.256575650355302,-6.0531971993585465
-8.95895895895896,-6.603536264759841,-6.039962036974512
-8.93893893893894,-7.169962419352521,-6.027019356516686
-8.91891891891892,-7.058115353476488,-6.014368448839437
-8.8988988988989,-6.518549188434404,-6.002008575561662
-8.87887887887888,-6.163598444108683,-5.989938969140766
-8.85885885885886,-6.112724318637806,-5.9781588329495685
