x,y_noise,y_true
-10.0,-8.958571524040813,-9.041075725336862
-9.97997997997998,-8.879153427447873,-9.01826433326884
-9.95995995995996,-8.7611591601281,-8.99554930459288
-9.93993993993994,-8.805400505287428,-8.972930909347399
-9.91991991991992,-8.833560447568768,-8.950409407888205
-9.8998998998999,-8.745306356687308,-8.927985050862395
-9.87987987987988,-8.886745132299735,-8.90565807918325
-9.85985985985986,-9.069996837955594,-8.883428724006086
-9.83983983983984,-9.115832266672754,-8.861297206705101
-9.81981981981982,-8.870933565128864,-8.839263738851193
-9.7997997997998,-8.71111517346286,-8.817328522190753
-9.77977977977978,-8.57032978567649,-8.795491748625457
-9.75975975975976,-8.73294466150806,-8.773753600193038
-9.73973973973974,-8.902086057144079,-8.752114249049038
-9.71971971971972,-8.663436943986005,-8.730573857449572
-9.6996996996997,-8.531998816332624,-8.709132577735055
-9.67967967967968,-8.58489368861416,-8.687790552314944
-9.65965965965966,-8.761390203505837,-8.666547913653474
-9.63963963963964,-8.647823652122035,-8.645404784256375
-9.61961961961962,-8.717344831539986,-8.624361276658606
-9.5995995995996,-8.778778244299552,-8.603417493413072
-9.57957957957958,-8.608860814637545,-8.582573527080354
-9.55955955955956,-8.742442452325271,-8.561829460219432
-9.53953953953954,-8.682410071361362,-8.541185365379407
-9.51951951951952,-8.897943683547995,-8.520641305092246
-9.4994994994995,-8.803715288530404,-8.500197331866499
-9.47947947947948,-8.755808280507383,-8.479853488182052
-9.45945945945946,-8.670915872441322,-8.459609806485862
-9.43943943943944,-8.609636953804621,-8.439466309188708
-9.41941941941942,-8.503042623109451,-8.419423008662948
-9.3993993993994,-8.5146338981396,-8.399479907241275
-9.37937937937938,-8.497767207123191,-8.379636997216489
-9.35935935935936,-8.400969965774014,-8.359894260842262
-9.33933933933934,-8.654663600315066,-8.340251670334922
-9.31931931931932,-8.66110255349501,-8.320709187876233
-9.2992992992993,-8.528870638238647,-8.30126676561719
-9.27927927927928,-8.458067080449396,-8.281924345682803
-9.25925925925926,-8.446651096144631,-8.26268186017791
-9.23923923923924,-8.308049876585304,-8.243539231193967
-9.21921921921922,-8.216713652638528,-8.224496370816867
-9.1991991991992,-8.349485799000876,-8.205553181135734
-9.17917917917918,-8.385040366910927,-8.186709554252747
-9.15915915915916,-8.251073680697003,-8.167965372293944
-9.13913913913914,-8.245345477637551,-8.149320507421036
-9.11911911911912,-8.416231528391513,-8.130774821844215
-9.0990990990991,-8.195334442761585,-8.112328167835958
-9.07907907907908,-8.29466169914,-8.093980387745837
-9.05905905905906,-8.307662488257455,-8.07573131401631
-9.03903903903904,-8.322772860418139,-8.0575807691995
-9.01901901901902,-8.205098760324354,-8.039528565975003
-8.998998998999,-8.167332434786118,-8.021574507168628
-8.97897897897898,-8.126195936355641,-8.003718385772169
-8.95895895895896,-8.215954267548522,-7.985959984964143
-8.93893893893894,-7.860628674340094,-7.968299078131522
-8.91891891891892,-7.891289619181754,-7.9507354288924255
-8.8988988988989,-7.792346037091842,-7.93326879111982
-8.87887887887888,-7.898203484142993,-7.915898908966175
-8.85885885885886,-7.788086534605282,-7.898625516889096
-8.83883883883884,-8.030912970042383,-7.881448339677936
-8.81881881881882,-7.867460901423905,-7.864367092481371
-8.7987987987988,-7.874099350371013,-7.847381480835939
-8.77877877877878,-8.017721672797324,-7.8304912006955485
-8.75875875875876,-7.873579981309689,-7.813695938461943
-8.73873873873874,-7.753456955083785,-7.79699537101612
-8.71871871871872,-7.968570442789889,-7.780389165750712
-8.6986986986987,-7.857212108899071,-7.763876980603313
-8.67867867867868,-7.963641898895899,-7.747458464090748
-8.65865865865866,-7.946549502800102,-7.731133255344298
-8.63863863863864,-7.995288523518851,-7.714900984145855
-8.618618618618619,-7.843899996347522,-7.698761270965017
-8.598598598598599,-7.682893234471659,-7.68271372699712
-8.578578578578579,-7.7254231286835156,-7.666757954202195
-8.558558558558559,-7.75973569389444,-7.650893545344849
-8.538538538538539,-7.971558959614462,-7.635120084035072
-8.518518518518519,-7.902048851376553,-7.619437144769957
-8.498498498498499,-7.798343536728056,-7.6038442929763415
-8.478478478478479,-7.8692812221502715,-7.588341085054341
-8.458458458458459,-7.928544210375926,-7.572927068421806
-8.438438438438439,-7.698217155119944,-7.557601781559668
-8.418418418418419,-7.727681338504193,-7.54236475405818
-8.398398398398399,-7.542757246655269,-7.527215506664059
-8.378378378378379,-7.445174451020511,-7.512153551328499
