x,y_noise,y_true
-10.0,-9.457424142272874,-9.45597888911063
-9.97997997997998,-9.748260815986164,-9.452864994314556
-9.95995995995996,-9.658045066997797,-9.44996236078183
-9.93993993993994,-9.857559853652278,-9.447264128072526
-9.91991991991992,-9.6121648389567,-9.444763353825353
-9.8998998998999,-9.627796623947765,-9.442453016540078
-9.87987987987988,-9.608763817063803,-9.440326018391655
-9.85985985985986,-9.72338630595907,-9.438375188074943
-9.83983983983984,-9.63488253424146,-9.436593283678885
-9.81981981981982,-9.639376823932219,-9.43497299558897
-9.7997997997998,-9.4294303644737,-9.433506949416838
-9.77977977977978,-9.416494792992406,-9.432187708955857
-9.75975975975976,-9.416421896623474,-9.431007779161444
-9.73973973973974,-9.681025560745756,-9.429959609155006
-9.71971971971972,-9.575632396992921,-9.429035595250228
-9.6996996996997,-9.597148993193247,-9.428228084000548
-9.67967967967968,-9.428828068776175,-9.427529375266552
-9.65965965965966,-9.354759339607844,-9.42693172530211
-9.63963963963964,-9.34611258395743,-9.426427349857962
-9.61961961961962,-9.30164464963147,-9.426008427301564
-9.5995995995996,-9.380099229381942,-9.425667101751891
-9.57957957957958,-9.460426830788194,-9.425395486227984
-9.55955955955956,-9.428500213432848,-9.425185665809956
-9.53953953953954,-9.385253022151398,-9.425029700811194
-9.51951951951952,-9.656938109910774,-9.42491962996049
-9.4994994994995,-9.810756856535873,-9.42484747359282
-9.47947947947948,-9.677504543850795,-9.424805236847497
-9.45945945945946,-9.498775828595372,-9.424784912872415
-9.43943943943944,-9.513061220849824,-9.424778486033095
-9.41941941941942,-9.52531529653133,-9.424777935125254
-9.3993993993994,-9.463049311251993,-9.424775236589614
-9.37937937937938,-9.584133902752507,-9.424762367727633
-9.35935935935936,-9.456538231598019,-9.424731309916913
-9.33933933933934,-9.36959717927107,-9.42467405182497
-9.31931931931932,-9.297434604462792,-9.424582592620066
-9.2992992992993,-9.382974349584826,-9.42444894517786
-9.27927927927928,-9.277871455190311,-9.424265139282536
-9.25925925925926,-9.418697809631103,-9.424023224821179
-9.23923923923924,-9.35737650762091,-9.423715274970075
-9.21921921921922,-9.17758396800718,-9.423333389371695
-9.1991991991992,-9.432687636524365,-9.422869697301053
-9.17917917917918,-9.418998452735778,-9.4223163608202
-9.15915915915916,-9.428984654165118,-9.42166557791958
-9.13913913913914,-9.547647615439544,-9.420909585644964
-9.11911911911912,-9.491639093043085,-9.420040663208766
-9.0990990990991,-9.45650244617593,-9.419051135084434
-9.07907907907908,-9.385818518724731,-9.4179333740827
-9.05905905905906,-9.456504999037032,-9.416679804408474
-9.03903903903904,-9.269388615949502,-9.41528290469713
-9.01901901901902,-9.154310148693733,-9.413735211028966
-8.998998998999,-9.372350495733059,-9.41202931992067
-8.97897897897898,-9.362761904836598,-9.410157891292531
-8.95895895895896,-9.31139288209688,-9.408113651410261
-8.93893893893894,-9.498638170159149,-9.405889395800214
-8.91891891891892,-9.60384683625328,-9.403477992136859
-8.8988988988989,-9.598970591659542,-9.400872383101317
-8.87887887887888,-9.73922937658369,-9.398065589209866
-8.85885885885886,-9.589397386296234,-9.395050711611214
-8.83883883883884,-9.958433507861754,-9.391820934851488
-8.81881881881882,-9.79644833080274,-9.388369529605775
-8.7987987987988,-9.62651157832072,-9.384689855375168
-8.77877877877878,-9.49568807101084,-9.380775363148176
-8.75875875875876,-9.445780566423405,-9.376619598025512
-8.73873873873874,-9.53928853513447,-9.372216201807113
-8.71871871871872,-9.581258629000097,-9.367558915540453
-8.6986986986987,-9.399329062599495,-9.362641582029038
